r,phi,dphi,V,dV
6.433380e-002,3.217314e+001,-1.006807e+003,2.232790e+003,2.626691e+002
6.760201e-002,2.911869e+001,-8.670174e+002,1.610712e+003,2.095697e+002
7.103686e-002,2.635423e+001,-7.466343e+002,1.160341e+003,1.669569e+002
7.464685e-002,2.385222e+001,-6.429647e+002,8.348592e+002,1.328320e+002
7.844093e-002,2.158774e+001,-5.536890e+002,6.000084e+002,1.055562e+002
8.242847e-002,1.953825e+001,-4.768094e+002,4.307935e+002,8.379183e+001
8.661934e-002,1.768333e+001,-4.106051e+002,3.090267e+002,6.645168e+001
9.102391e-002,1.600452e+001,-3.535942e+002,2.215040e+002,5.265536e+001
9.565305e-002,1.448508e+001,-3.045002e+002,1.586596e+002,4.169213e+001
1.005182e-001,1.310990e+001,-2.622239e+002,1.135766e+002,3.298983e+001
1.056313e-001,1.186528e+001,-2.258187e+002,8.126159e+001,2.608903e+001
1.110051e-001,1.073881e+001,-1.944693e+002,5.811519e+001,2.062163e+001
1.166526e-001,9.719293e+000,-1.674735e+002,4.154655e+001,1.629330e+001
1.225879e-001,8.796563e+000,-1.442269e+002,2.969293e+001,1.286912e+001
1.288256e-001,7.961435e+000,-1.242086e+002,2.121655e+001,1.016186e+001
1.353808e-001,7.205591e+000,-1.069703e+002,1.515760e+001,8.022570e+000
1.422698e-001,6.521506e+000,-9.212593e+001,1.082804e+001,6.332853e+000
1.495093e-001,5.902366e+000,-7.934294e+001,7.735046e+000,4.998743e+000
1.571170e-001,5.342005e+000,-6.833503e+001,5.525851e+000,3.945731e+000
1.651116e-001,4.834844e+000,-5.885566e+001,3.948106e+000,3.114794e+000
1.735125e-001,4.375831e+000,-5.069253e+001,2.821384e+000,2.459215e+000
1.823401e-001,3.960395e+000,-4.366281e+001,2.016744e+000,1.942047e+000
1.916157e-001,3.584400e+000,-3.760909e+001,1.442071e+000,1.534090e+000
2.013619e-001,3.244101e+000,-3.239579e+001,1.031581e+000,1.212279e+000
2.116022e-001,2.936109e+000,-2.790620e+001,7.383049e-001,9.584039e-001
2.223611e-001,2.657357e+000,-2.403981e+001,5.287138e-001,7.580968e-001
2.336644e-001,2.405068e+000,-2.071005e+001,3.788760e-001,6.000236e-001
2.455392e-001,2.176732e+000,-1.784240e+001,2.717105e-001,4.752471e-001
2.580135e-001,1.970073e+000,-1.537268e+001,1.950262e-001,3.767215e-001
2.711171e-001,1.783034e+000,-1.324563e+001,1.401216e-001,2.988937e-001
2.848806e-001,1.613751e+000,-1.141366e+001,1.007846e-001,2.373874e-001
2.993362e-001,1.460540e+000,-9.835807e+000,7.258006e-002,1.887542e-001
3.145177e-001,1.321875e+000,-8.476779e+000,5.234033e-002,1.502767e-001
3.304601e-001,1.196374e+000,-7.306195e+000,3.780247e-002,1.198137e-001
3.471999e-001,1.082787e+000,-6.297890e+000,2.734918e-002,9.567796e-002
3.647751e-001,9.799847e-001,-5.429342e+000,1.933209e-002,7.473328e-002
3.832252e-001,8.869417e-001,-4.681211e+000,1.297126e-002,5.540404e-002
4.025909e-001,8.027319e-001,-4.036790e+000,8.703298e-003,4.107407e-002
4.229144e-001,7.265167e-001,-3.481669e+000,5.839615e-003,3.045040e-002
4.442392e-001,6.575372e-001,-3.003440e+000,3.918167e-003,2.257445e-002
4.666104e-001,5.951063e-001,-2.591425e+000,2.628936e-003,1.673555e-002
4.900744e-001,5.386025e-001,-2.236428e+000,1.763904e-003,1.240684e-002
5.146786e-001,4.874629e-001,-1.930534e+000,1.183499e-003,9.197735e-003
5.404721e-001,4.411784e-001,-1.666928e+000,7.940696e-004,6.818657e-003
5.675045e-001,3.992880e-001,-1.439740e+000,5.327784e-004,5.054927e-003
5.958266e-001,3.613745e-001,-1.243919e+000,3.574636e-004,3.747389e-003
6.254900e-001,3.270605e-001,-1.075115e+000,2.398358e-004,2.778052e-003
6.565465e-001,2.960041e-001,-9.295812e-001,1.609136e-004,2.059441e-003
6.890481e-001,2.678962e-001,-8.040926e-001,1.079612e-004,1.526707e-003
7.230470e-001,2.424567e-001,-6.958718e-001,7.243334e-005,1.131772e-003
7.585944e-001,2.194324e-001,-6.025272e-001,4.859649e-005,8.389934e-004
7.957408e-001,1.985940e-001,-5.219992e-001,3.260366e-005,6.219488e-004
8.345352e-001,1.797340e-001,-4.525142e-001,2.187371e-005,4.610486e-004
8.750243e-001,1.626645e-001,-3.925448e-001,1.467481e-005,3.417703e-004
9.172522e-001,1.472155e-001,-3.407757e-001,9.845012e-006,2.533478e-004
9.612593e-001,1.332333e-001,-2.960739e-001,6.604697e-006,1.877996e-004
1.007082e+000,1.205785e-001,-2.574636e-001,4.430797e-006,1.392087e-004
1.054750e+000,1.091252e-001,-2.241046e-001,2.972367e-006,1.031886e-004
1.104289e+000,9.875930e-002,-1.952729e-001,1.993948e-006,7.648746e-005
1.155716e+000,8.937754e-002,-1.703450e-001,1.337566e-006,5.669455e-005
1.209038e+000,8.088650e-002,-1.487838e-001,8.972343e-007,4.202273e-005
1.264254e+000,7.320163e-002,-1.301266e-001,6.018452e-007,3.114716e-005
1.321352e+000,6.624641e-002,-1.139747e-001,4.036928e-007,2.308571e-005
1.380306e+000,5.995156e-002,-9.998463e-002,2.707719e-007,1.711030e-005
1.441076e+000,5.425440e-002,-8.786055e-002,1.816107e-007,1.268122e-005
1.503610e+000,4.909818e-002,-7.734741e-002,1.218045e-007,9.398368e-006
1.567836e+000,4.443157e-002,-6.822544e-002,8.168989e-008,6.965160e-006
1.633667e+000,4.020808e-002,-6.030526e-002,5.478416e-008,5.161740e-006
1.700996e+000,3.638565e-002,-5.342359e-002,3.673857e-008,3.825133e-006
1.769700e+000,3.292621e-002,-4.743970e-002,2.463592e-008,2.834533e-006
1.839635e+000,2.979531e-002,-4.223225e-002,1.651937e-008,2.100390e-006
1.910639e+000,2.696176e-002,-3.769661e-002,1.107630e-008,1.556328e-006
1.982530e+000,2.439734e-002,-3.374253e-002,7.426289e-009,1.153145e-006
2.055111e+000,2.207651e-002,-3.029217e-002,4.978783e-009,8.543726e-007
2.128166e+000,1.997614e-002,-2.727837e-002,3.337703e-009,6.329810e-007
2.201470e+000,1.807531e-002,-2.464315e-002,2.237404e-009,4.689355e-007
2.274781e+000,1.635508e-002,-2.233649e-002,1.499726e-009,3.473873e-007
2.347854e+000,1.479831e-002,-2.031517e-002,1.005194e-009,2.573311e-007
2.420434e+000,1.338948e-002,-1.854186e-002,6.736850e-010,1.906108e-007
2.492269e+000,1.211456e-002,-1.698432e-002,4.514738e-010,1.411820e-007
2.563108e+000,1.096084e-002,-1.561464e-002,3.025355e-010,1.045652e-007
2.632706e+000,9.916799e-003,-1.440872e-002,2.027158e-010,7.744095e-008
2.700830e+000,8.972040e-003,-1.334567e-002,1.358209e-010,5.734951e-008
2.767262e+000,8.117134e-003,-1.240742e-002,9.099395e-011,4.246824e-008
2.831800e+000,7.343550e-003,-1.157829e-002,6.095733e-011,3.144665e-008
2.894264e+000,6.643567e-003,-1.084470e-002,4.083259e-011,2.328413e-008
2.954497e+000,6.010195e-003,-1.019486e-002,2.734991e-011,1.723939e-008
3.012368e+000,5.437108e-003,-9.618513e-003,1.831781e-011,1.276321e-008
3.067769e+000,4.918579e-003,-9.106761e-003,1.226762e-011,9.448765e-009
3.120621e+000,4.449424e-003,-8.651844e-003,8.215177e-012,6.994676e-009
3.170871e+000,4.024952e-003,-8.247004e-003,5.501037e-012,5.177717e-009
3.218489e+000,3.640916e-003,-7.886343e-003,3.683360e-012,3.832552e-009
3.263472e+000,3.293471e-003,-7.564711e-003,2.466135e-012,2.836727e-009
3.305835e+000,2.979137e-003,-7.277602e-003,1.651064e-012,2.099557e-009
3.345617e+000,2.694766e-003,-7.021071e-003,1.105315e-012,1.553887e-009
3.382871e+000,2.437507e-003,-6.791655e-003,7.399205e-013,1.149989e-009
3.417667e+000,2.204779e-003,-6.586316e-003,4.952928e-013,8.510428e-010
3.450088e+000,1.994248e-003,-6.402380e-003,3.315264e-013,6.297867e-010
3.480224e+000,1.803799e-003,-6.237493e-003,2.218986e-013,4.660375e-010
3.508177e+000,1.631521e-003,-6.089578e-003,1.485159e-013,3.448534e-010
3.534052e+000,1.475683e-003,-5.956801e-003,9.939714e-014,2.551734e-010
3.557957e+000,1.334717e-003,-5.837539e-003,6.652104e-014,1.888096e-010
3.580003e+000,1.207207e-003,-5.730356e-003,4.451735e-014,1.397018e-010
3.600302e+000,1.091870e-003,-5.633977e-003,2.979105e-014,1.033640e-010
3.618963e+000,9.875452e-004,-5.547271e-003,1.993562e-014,7.647635e-011
3.636095e+000,8.931821e-004,-5.469231e-003,1.334018e-014,5.658172e-011
3.651802e+000,8.078306e-004,-5.398962e-003,8.926534e-015,4.186172e-011
3.666185e+000,7.306310e-004,-5.335666e-003,5.973022e-015,3.097066e-011
3.679342e+000,6.608054e-004,-5.278630e-003,3.996650e-015,2.291274e-011
3.691365e+000,5.976501e-004,-5.227220e-003,2.674175e-015,1.695107e-011
3.702342e+000,5.405284e-004,-5.180865e-003,1.789269e-015,1.254041e-011
3.712354e+000,4.888642e-004,-5.139058e-003,1.197166e-015,9.277283e-012
3.721481e+000,4.421364e-004,-5.101343e-003,8.009897e-016,6.863176e-012
3.729793e+000,3.998738e-004,-5.067312e-003,5.359119e-016,5.077208e-012
3.737359e+000,3.616498e-004,-5.036598e-003,3.585540e-016,3.755959e-012
3.744242e+000,3.270787e-004,-5.008873e-003,2.398892e-016,2.778516e-012
3.750500e+000,2.958116e-004,-4.983842e-003,1.604954e-016,2.055426e-012
3.756187e+000,2.675328e-004,-4.961239e-003,1.073767e-016,1.520504e-012
3.761353e+000,2.419569e-004,-4.940826e-003,7.183798e-017,1.124788e-012
3.766043e+000,2.188257e-004,-4.922389e-003,4.806121e-017,8.320529e-013
3.770301e+000,1.979054e-004,-4.905733e-003,3.215379e-017,6.155014e-013
3.774163e+000,1.789849e-004,-4.890686e-003,2.151131e-017,4.553078e-013
3.777667e+000,1.618730e-004,-4.877090e-003,1.439127e-017,3.368056e-013
3.780844e+000,1.463969e-004,-4.864805e-003,9.627844e-018,2.491447e-013
3.783725e+000,1.324002e-004,-4.853704e-003,6.441053e-018,1.842988e-013
3.786335e+000,1.197417e-004,-4.843670e-003,4.309063e-018,1.363302e-013
3.788701e+000,1.082932e-004,-4.834602e-003,2.882750e-018,1.008464e-013
3.790845e+000,9.793930e-005,-4.826406e-003,1.928545e-018,7.459800e-014
3.792786e+000,8.857524e-005,-4.818998e-003,1.290182e-018,5.518145e-014
3.794545e+000,8.010642e-005,-4.812300e-003,8.631196e-019,4.081860e-014
3.796137e+000,7.244727e-005,-4.806246e-003,5.774173e-019,3.019411e-014
3.797580e+000,6.552039e-005,-4.800773e-003,3.862848e-019,2.233498e-014
3.798885e+000,5.925577e-005,-4.795825e-003,2.584190e-019,1.652145e-014
3.800067e+000,5.359011e-005,-4.791352e-003,1.728783e-019,1.222110e-014
3.801137e+000,4.846614e-005,-4.787307e-003,1.156526e-019,9.040065e-015
3.802105e+000,4.383208e-005,-4.783650e-003,7.736955e-020,6.687017e-015
3.802982e+000,3.964109e-005,-4.780344e-003,5.175876e-020,4.946441e-015
3.803775e+000,3.585080e-005,-4.777354e-003,3.462559e-020,3.658919e-015
3.804493e+000,3.242291e-005,-4.774651e-003,2.316381e-020,2.706527e-015
3.805142e+000,2.932278e-005,-4.772206e-003,1.549609e-020,2.002034e-015
3.805730e+000,2.651906e-005,-4.769996e-003,1.036655e-020,1.480916e-015
3.806261e+000,2.398341e-005,-4.767997e-003,6.934985e-021,1.095441e-015
3.806742e+000,2.169021e-005,-4.766190e-003,4.639344e-021,8.103029e-016
3.807178e+000,1.961627e-005,-4.764556e-003,3.103612e-021,5.993844e-016
3.807571e+000,1.774063e-005,-4.763078e-003,2.076242e-021,4.433670e-016
