r,phi,dphi,V,dV
3.811301e+000,3.427565e-010,-4.749107e-003,2.892973e-040,3.197519e-030
3.811301e+000,3.099828e-010,-4.749107e-003,1.935317e-040,2.365206e-030
3.811301e+000,2.803429e-010,-4.749107e-003,1.294672e-040,1.749544e-030
3.811301e+000,2.535371e-010,-4.749107e-003,8.660993e-041,1.294138e-030
3.811301e+000,2.292944e-010,-4.749107e-003,5.793960e-041,9.572746e-031
3.811301e+000,2.073697e-010,-4.749107e-003,3.875996e-041,7.080964e-031
3.811301e+000,1.875415e-010,-4.749107e-003,2.592932e-041,5.237791e-031
3.811301e+000,1.696092e-010,-4.749107e-003,1.734598e-041,3.874396e-031
3.811301e+000,1.533915e-010,-4.749107e-003,1.160397e-041,2.865892e-031
3.811301e+000,1.387245e-010,-4.749107e-003,7.762729e-042,2.119902e-031
3.811301e+000,1.254600e-010,-4.749107e-003,5.193046e-042,1.568092e-031
3.811301e+000,1.134637e-010,-4.749107e-003,3.474001e-042,1.159918e-031
3.811301e+000,1.026146e-010,-4.749107e-003,2.324009e-042,8.579920e-032
3.811301e+000,9.280277e-011,-4.749107e-003,1.554696e-042,6.346570e-032
3.811301e+000,8.392917e-011,-4.749107e-003,1.040048e-042,4.694560e-032
3.811301e+000,7.590403e-011,-4.749107e-003,6.957627e-043,3.472568e-032
3.811301e+000,6.864625e-011,-4.749107e-003,4.654456e-043,2.568660e-032
3.811301e+000,6.208244e-011,-4.749107e-003,3.113699e-043,1.900039e-032
3.811301e+000,5.614624e-011,-4.749107e-003,2.082977e-043,1.405459e-032
3.811301e+000,5.077765e-011,-4.749107e-003,1.393453e-043,1.039619e-032
3.811301e+000,4.592240e-011,-4.749107e-003,9.321805e-044,7.690064e-033
3.811301e+000,4.153140e-011,-4.749107e-003,6.236025e-044,5.688343e-033
3.811301e+000,3.756025e-011,-4.749107e-003,4.171724e-044,4.207669e-033
3.811301e+000,3.396882e-011,-4.749107e-003,2.790766e-044,3.112415e-033
3.811301e+000,3.072079e-011,-4.749107e-003,1.866943e-044,2.302254e-033
3.811301e+000,2.778333e-011,-4.749107e-003,1.248932e-044,1.702978e-033
3.811301e+000,2.512675e-011,-4.749107e-003,8.355005e-045,1.259694e-033
3.811301e+000,2.272418e-011,-4.749107e-003,5.589263e-045,9.317959e-034
3.811301e+000,2.055134e-011,-4.749107e-003,3.739059e-045,6.892498e-034
3.811301e+000,1.858626e-011,-4.749107e-003,2.501325e-045,5.098383e-034
3.811301e+000,1.680908e-011,-4.749107e-003,1.673316e-045,3.771276e-034
3.811301e+000,1.520183e-011,-4.749107e-003,1.119401e-045,2.789614e-034
3.811301e+000,1.374827e-011,-4.749107e-003,7.488476e-046,2.063479e-034
3.811301e+000,1.243369e-011,-4.749107e-003,5.009579e-046,1.526356e-034
3.811301e+000,1.124480e-011,-4.749107e-003,3.351267e-046,1.129046e-034
3.811301e+000,1.016960e-011,-4.749107e-003,2.241903e-046,8.351558e-035
3.811301e+000,9.197202e-012,-4.749107e-003,1.499770e-046,6.177650e-035
3.811301e+000,8.317785e-012,-4.749107e-003,1.003304e-046,4.569610e-035
3.811301e+000,7.522455e-012,-4.749107e-003,6.711818e-047,3.380143e-035
3.811301e+000,6.803174e-012,-4.749107e-003,4.490016e-047,2.500293e-035
3.811301e+000,6.152668e-012,-4.749107e-003,3.003694e-047,1.849467e-035
3.811301e+000,5.564363e-012,-4.749107e-003,2.009387e-047,1.368052e-035
3.811301e+000,5.032310e-012,-4.749107e-003,1.344223e-047,1.011948e-035
3.811301e+000,4.551131e-012,-4.749107e-003,8.992471e-048,7.485386e-036
3.811301e+000,4.115961e-012,-4.749107e-003,6.015709e-048,5.536943e-036
3.811301e+000,3.722402e-012,-4.749107e-003,4.024340e-048,4.095679e-036
3.811301e+000,3.366473e-012,-4.749107e-003,2.692170e-048,3.029575e-036
3.811301e+000,3.044578e-012,-4.749107e-003,1.800985e-048,2.240978e-036
3.811301e+000,2.753462e-012,-4.749107e-003,1.204808e-048,1.657652e-036
3.811301e+000,2.490182e-012,-4.749107e-003,8.059828e-049,1.226166e-036
3.811301e+000,2.252076e-012,-4.749107e-003,5.391797e-049,9.069954e-037
3.811301e+000,2.036737e-012,-4.749107e-003,3.606960e-049,6.709048e-037
3.811301e+000,1.841988e-012,-4.749107e-003,2.412954e-049,4.962685e-037
3.811301e+000,1.665861e-012,-4.749107e-003,1.614198e-049,3.670900e-037
3.811301e+000,1.506575e-012,-4.749107e-003,1.079853e-049,2.715366e-037
3.811301e+000,1.362519e-012,-4.749107e-003,7.223912e-050,2.008557e-037
3.811301e+000,1.232238e-012,-4.749107e-003,4.832593e-050,1.485731e-037
3.811301e+000,1.114414e-012,-4.749107e-003,3.232868e-050,1.098996e-037
3.811301e+000,1.007856e-012,-4.749107e-003,2.162698e-050,8.129274e-038
3.811301e+000,9.114870e-013,-4.749107e-003,1.446784e-050,6.013227e-038
3.811301e+000,8.243325e-013,-4.749107e-003,9.678574e-051,4.447986e-038
3.811301e+000,7.455115e-013,-4.749107e-003,6.474693e-051,3.290177e-038
3.811301e+000,6.742273e-013,-4.749107e-003,4.331387e-051,2.433745e-038
3.811301e+000,6.097591e-013,-4.749107e-003,2.897575e-051,1.800242e-038
3.811301e+000,5.514552e-013,-4.749107e-003,1.938396e-051,1.331640e-038
3.811301e+000,4.987262e-013,-4.749107e-003,1.296732e-051,9.850145e-039
3.811301e+000,4.505381e-013,-4.749107e-003,8.636300e-052,7.261907e-039
3.811301e+000,4.030470e-013,-4.749107e-003,5.531266e-052,5.199042e-039
3.811301e+000,3.555560e-013,-4.749107e-003,3.349913e-052,3.569275e-039
3.811301e+000,3.080649e-013,-4.749107e-003,1.887863e-052,2.321575e-039
3.811301e+000,2.605738e-013,-4.749107e-003,9.663285e-053,1.404910e-039
3.811301e+000,2.130827e-013,-4.749107e-003,4.321105e-053,7.682473e-040
3.811301e+000,1.655917e-013,-4.749107e-003,1.575998e-053,3.605552e-040
3.811301e+000,1.181006e-013,-4.749107e-003,4.077653e-054,1.308015e-040
3.811301e+000,7.060955e-014,-4.749107e-003,5.210212e-055,2.795416e-041
3.811301e+000,2.311848e-014,-4.749107e-003,5.987405e-057,9.811466e-043
3.811301e+000,-6.270555e-016,-4.749107e-003,0.000000e+000,0.000000e+000
