scale_mu,g1,g2,g3,yt,lambda
173.1000000000001,0.4626456,0.6535451999999999,1.1667104,0.9355342930987848,0.125953362455907
181.9750267826898,0.4627768158294599,0.6532760584988511,1.163097743049838,0.9328428768216137,0.1249541474658368
191.3050859188946,0.4629081286578699,0.6530071893385523,1.159519123733144,0.9301764062420023,0.1239653157959729
201.1135074162658,0.4630395387995516,0.6527385928285395,1.155974004928061,0.9275344718361724,0.1229866905440932
211.4248174375253,0.4631710465658988,0.652470269260483,1.152461861389186,0.9249166735807681,0.1220180991694666
222.2647996286479,0.4633026522654629,0.6522022189087865,1.1489821794104,0.9223226206696548,0.121059373354847
233.660559591406,0.4634343562040362,0.6519344420310699,1.145534456499366,0.9197519312409993,0.1201103488737511
245.6405926614926,0.463566158684732,0.6516669388686366,1.142118201063219,0.9172042321141909,0.1191708654627832
258.2348551617036,0.4636980600080624,0.6513997096469261,1.138732932104995,0.9146791585361851,0.1182407666987829
271.4748393083479,0.4638300604720137,0.6511327545759517,1.135378178930364,0.9121763539368752,0.1173198998805812
285.3936519581918,0.463962160372119,0.6508660738507245,1.13205348086426,0.9096954696931123,0.1164081159151652
300.0260973928457,0.4640943600015293,0.6505996676516645,1.128758386977012,0.9072361649010142,0.1155052692080564
315.4087643475966,0.4642266596510813,0.6503335361449988,1.1254924558196,0.9047981061562221,0.1146112175577217
331.5801175023047,0.4643590596093646,0.6500676794831465,1.122255255167676,0.9023809673417771,0.1137258220538429
348.5805936631388,0.4644915601627851,0.6498020978050931,1.119046361774022,0.8999844294233066,0.1128489469792801
366.4527028756531,0.4646241615956279,0.6495367912367527,1.11586536112909,0.8976081802512242,0.1119804597155709
385.2411347220452,0.4647568641901177,0.6492717598913189,1.112711847229348,0.8952519143696606,0.1111202306518181
404.992870068388,0.4648896682264773,0.6490070038696059,1.109585422353097,0.8929153328318551,0.1102681330968212
425.7572985412668,0.4650225739829845,0.6487425232603782,1.106485696843507,0.8905981430217526,0.1094240431943188
447.5863420275716,0.4651555817360273,0.6484783181406717,1.103412288898574,0.8883000584815581,0.1085878398412116
470.5345845062592,0.4652886917601579,0.6482143885761041,1.100364824367752,0.8860207987450178,0.1077594046086433
494.659408536732,0.4654219043281438,0.647950734621177,1.097342936555002,0.883760089176199,0.1069386216658232
520.0211387451258,0.4655552197110195,0.6476873563195682,1.094346266028029,0.8815176608135594,0.1061253777064785
546.6831926672967,0.4656886381781344,0.6474242537044161,1.091374460433464,0.879293250219099,0.1053195618778299
574.7122393256941,0.4658221599972012,0.6471614267985958,1.088427174317786,0.8770865993324003,0.1045210657119894
604.1783659366423,0.4659557854343419,0.6468988756149867,1.085504068953771,0.8748974553293706,0.1037297830596832
635.1552531648884,0.4660895147541326,0.646636600156733,1.082604812172256,0.8727255704855076,0.102945610026208
667.7203593636433,0.4662233482196478,0.6463746004174959,1.079729078199043,0.8705707020435188,0.1021684449095323
701.9551142608099,0.4663572860925022,0.6461128763817001,1.076876547496747,0.86843261208513,0.1013981881404574
