phi,lambda_eff,V
180995.1374951543,-0.001310875106726424,-3.516972359913232e+017
200030.5622727477,-0.001254309970531909,-5.020307350228448e+017
221067.9601501605,-0.001196746311250036,-7.14570892973426e+017
244317.8804762635,-0.001138217597379828,-1.013879431912472e+018
270013.0162682484,-0.00107875626268318,-1.433514663977727e+018
298410.5330815547,-0.001018393742738038,-2.018888456533227e+018
329794.6428091851,-0.0009571605099822528,-2.830734694480389e+018
364479.4481698573,-0.0008950861073200382,-3.949089756022268e+018
402812.0863535865,-0.0008321991803590777,-5.477435404514091e+018
445176.20328736,-0.0007685275083426546,-7.54618052924701e+018
491995.7932925227,-0.0007040980338377615,-1.031379982108286e+019
543739.4425624537,-0.0006389368912369058,-1.396244011843072e+019
600925.0189306876,-0.0005730694341283046,-1.868221634465586e+019
664124.8548662537,-0.0005065202615862653,-2.463404708552028e+019
733971.4755693935,-0.0004393132434309078,-3.187359375755415e+019
811163.9294963641,-0.0003714715445038027,-4.020685296665673e+019
896474.7846713463,-0.0003030176480037332,-4.892831344375836e+019
990757.8608069,-0.0002339733779245301,-5.63607236784565e+019
1094956.774618626,-0.0001643599206348009,-5.906413273378001e+019
1210114.383858416,-9.41978456373809e-005,-5.049945272682728e+019
1337383.224585352,-2.350712554442599e-005,-1.880022387006211e+019
1478037.046133963,4.769284469770967e-005,5.690291489513523e+019
1633483.55922569,0.000119383229301344,2.124919108138166e+020
1805278.524810932,0.0001915457338172354,5.086152246143437e+020
1995141.324647547,0.0002641625879718911,1.046419865368369e+021
2204972.169451393,0.0003372165291344678,1.99278897519251e+021
2436871.116843848,0.0004106907863866992,3.620638877284816e+021
2693159.089434343,0.0004845690651705204,6.372997215825847e+021
2976401.103393927,0.0005588355324892952,1.096452565933687e+022
3289431.939999235,0.0006334748026396702,1.854184617370771e+022
3635384.517076313,0.0007084719234521755,3.093599334270125e+022
4017721.244295222,0.0007838123630197146,5.105888465386467e+022
4440268.676129782,0.0008594819968940524,8.352448208457007e+022
4907255.809300889,0.0009354670957313238,1.356198676127466e+023
5423356.407997117,0.001011754313368474,2.18820324267814e+023
5993735.780477619,0.001088330675313363,3.5114885422337e+023
6624102.475213306,0.001165183567632036,5.608445828867134e+023
7320765.413958657,0.001242300726217433,8.920572148334858e+023
8090697.033561134,0.001319670226424498,1.41367371241857e+024
8941603.068452675,0.001397280473057332,2.232981609756893e+024
9881999.672229884,0.001475120190694674,3.516792598480928e+024
10921298.65018157,0.001553178414340568,5.524061286966591e+024
12069901.65579951,0.001631444480387717,8.656199033943203e+024
13339304.29402274,0.001709908017881502,1.353460159241342e+025
14742211.17311556,0.001788558940073215,2.111999333211403e+025
16292663.05665722,0.001867387436251519,3.289597368961101e+025
18006177.38822307,0.001946383963841652,5.115105830920786e+025
19899903.59517549,0.002025539240762304,7.941171216596543e+025
21992794.72589701,0.002104844238030566,1.231066899207579e+026
24305797.13826889,0.0021842901726057,1.905854824880908e+026
26862060.13786112,0.002263868500462952,2.946785156781034e+026
29687167.66396327,0.002343570909888897,4.550856781975871e+026
32809394.34224801,0.002423389314990253,7.02030613904533e+026
36259988.46672825,0.002503315849408362,1.081848143667232e+027
40073484.74318651,0.002583342860231914,1.665522474087203e+027
44288049.92411795,0.002663462902100752,2.561727278056536e+027
48945864.79441763,0.002743668731493925,3.936730702176683e+027
54093546.33085312,0.002823953301195387,6.044763820178213e+027
59782614.26043661,0.002904309754931074,9.274330161785979e+027
66070006.68716913,0.002984731422171255,1.421879096086281e+028
73018649.94772299,0.003065211813092408,2.17839030311437e+028
80698088.39936946,0.003145744613692967,3.335158352275724e+028
89185180.44328105,0.003226323681057652,5.102919601022446e+028
98564867.74924335,0.003306943038765175,7.802886632719605e+028
108931025.3804362,0.003387596872434421,1.192444291271271e+029
120387401.3266185,0.003468279525404321,1.82128646619583e+029
133048654.8488806,0.00354898549454286,2.780264954149019e+029
