Mt,Mh_calc,Stability,S_exact,S_approx
160,110,1,-1,-1
160,120,1,-1,-1
160,130,1,-1,-1
160,140,1,-1,-1
170,110,2,879.2161662651685,878.9446031761573
170,120,2,4149.703473843942,4107.564445833078
170,130,1,-1,-1
170,140,1,-1,-1
180,110,3,294.8009810120553,294.857811425552
180,120,3,372.9904932142973,373.0262400794326
180,130,2,561.4377979819443,558.1423129969762
180,140,2,2110.822547001317,1809.250390570504
